"Variable","n_runs"
"Capital Cost|Liquids|Biomass|w/o CCS",32
"Capital Cost|Liquids|Coal|w/ CCS",32
"Capital Cost|Liquids|Coal|w/o CCS",32
"Capital Cost|Liquids|Oil",32
"Carbon Sequestration|CCS",359
"Carbon Sequestration|CCS|Biomass",359
"Carbon Sequestration|CCS|Biomass|Energy",16
"Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry",69
"Carbon Sequestration|CCS|Biomass|Energy|Supply",101
"Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity",101
"Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases",52
"Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen",80
"Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids",75
"Carbon Sequestration|CCS|Biomass|Energy|Supply|Other",26
"Carbon Sequestration|CCS|Biomass|Industrial Processes",8
"Carbon Sequestration|CCS|Fossil",313
"Carbon Sequestration|CCS|Fossil|Energy",16
"Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry",80
"Carbon Sequestration|CCS|Fossil|Energy|Supply",82
"Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity",50
"Carbon Sequestration|CCS|Fossil|Energy|Supply|Gases",26
"Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen",38
"Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids",50
"Carbon Sequestration|CCS|Fossil|Energy|Supply|Other",26
"Carbon Sequestration|CCS|Fossil|Industrial Processes",13
"Carbon Sequestration|Direct Air Capture",15
"Carbon Sequestration|Enhanced Weathering",12
"Carbon Sequestration|Land Use",160
"Carbon Sequestration|Land Use|Afforestation",74
"Carbon Sequestration|Land Use|Biochar",6
"Carbon Sequestration|Land Use|Soil Carbon Management",6
"Concentration|CH4",150
"Concentration|CO2",150
"Concentration|N2O",150
"Consumption",342
"Cumulative Capacity|Electricity|Biomass",65
"Cumulative Capacity|Electricity|Biomass|w/ CCS",68
"Cumulative Capacity|Electricity|Biomass|w/o CCS",48
"Cumulative Capacity|Electricity|Coal",76
"Cumulative Capacity|Electricity|Coal|w/ CCS",68
"Cumulative Capacity|Electricity|Coal|w/o CCS",81
"Cumulative Capacity|Electricity|Gas",76
"Cumulative Capacity|Electricity|Gas|w/ CCS",68
"Cumulative Capacity|Electricity|Gas|w/o CCS",81
"Cumulative Capacity|Electricity|Geothermal",9
"Cumulative Capacity|Electricity|Hydro",49
"Cumulative Capacity|Electricity|Nuclear",82
"Cumulative Capacity|Electricity|Ocean",3
"Cumulative Capacity|Electricity|Oil",44
"Cumulative Capacity|Electricity|Other",7
"Cumulative Capacity|Electricity|Solar",44
"Cumulative Capacity|Electricity|Solar|CSP",43
"Cumulative Capacity|Electricity|Solar|PV",76
"Cumulative Capacity|Electricity|Wind",43
"Cumulative Capacity|Electricity|Wind|Offshore",11
"Cumulative Capacity|Electricity|Wind|Onshore",17
"Diagnostics|MAGICC6|Harmonized Input|Emissions|BC",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|C2F6",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|C6F14",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|CH4",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|CO",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|CO2|AFOLU",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|CO2|Energy and Industrial Processes",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC125",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC134a",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC143a",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC227ea",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC23",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC245ca",310
"Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC32",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|HFC|HFC43-10",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|N2O",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|NH3",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|NOx",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|OC",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|PFC",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|SF6",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|Sulfur",411
"Diagnostics|MAGICC6|Harmonized Input|Emissions|VOC",411
"Discount rate|Buildings",1
"Discount rate|Economy",4
"Discount rate|Electricity",1
"Discount rate|Energy Supply",1
"Discount rate|Industry",1
"Discount rate|Mobility",1
"Discount rate|Social",1
"Discount rate|Transport Infrastructure",1
"Emissions|BC",389
"Emissions|BC|AFOLU",80
"Emissions|BC|Energy",80
"Emissions|BC|Energy|Demand|Industry",80
"Emissions|BC|Energy|Demand|Residential and Commercial",71
"Emissions|BC|Energy|Demand|Transportation",80
"Emissions|BC|Energy|Supply",80
"Emissions|BC|Other",33
"Emissions|CH4",412
"Emissions|CH4|AFOLU",301
"Emissions|CH4|Energy",234
"Emissions|CH4|Energy|Demand|Industry",74
"Emissions|CH4|Energy|Demand|Residential and Commercial",115
"Emissions|CH4|Energy|Demand|Transportation",74
"Emissions|CH4|Energy|Supply",138
"Emissions|CH4|Other",42
"Emissions|CO",353
"Emissions|CO|AFOLU",80
"Emissions|CO|Energy",80
"Emissions|CO|Energy|Demand|Industry",72
"Emissions|CO|Energy|Demand|Residential and Commercial",71
"Emissions|CO|Energy|Demand|Transportation",80
"Emissions|CO|Energy|Supply",80
"Emissions|CO|Other",1
"Emissions|CO2",414
"Emissions|CO2|AFOLU",412
"Emissions|CO2|Energy",125
"Emissions|CO2|Energy and Industrial Processes",414
"Emissions|CO2|Energy|Demand",356
"Emissions|CO2|Energy|Demand|AFOFI",70
"Emissions|CO2|Energy|Demand|Industry",316
"Emissions|CO2|Energy|Demand|Other Sector",10
"Emissions|CO2|Energy|Demand|Residential and Commercial",315
"Emissions|CO2|Energy|Demand|Transportation",223
"Emissions|CO2|Energy|Supply",389
"Emissions|CO2|Energy|Supply|Electricity",347
"Emissions|CO2|Energy|Supply|Gases",71
"Emissions|CO2|Energy|Supply|Heat",69
"Emissions|CO2|Energy|Supply|Liquids",80
"Emissions|CO2|Energy|Supply|Other Sector",33
"Emissions|CO2|Energy|Supply|Solids",71
"Emissions|CO2|Industrial Processes",82
"Emissions|CO2|Other",123
"Emissions|F-Gases",368
"Emissions|HFC",108
"Emissions|HFC|HFC125",188
"Emissions|HFC|HFC134a",188
"Emissions|HFC|HFC143a",188
"Emissions|HFC|HFC227ea",188
"Emissions|HFC|HFC23",180
"Emissions|HFC|HFC245fa",38
"Emissions|HFC|HFC32",180
"Emissions|HFC|HFC43-10",180
"Emissions|Kyoto Gases",337
"Emissions|Kyoto Gases (AR4-GWP100)",374
"Emissions|Kyoto Gases (AR5-GWP100)",374
"Emissions|Kyoto Gases (SAR-GWP100)",374
"Emissions|N2O",411
"Emissions|N2O|AFOLU",300
"Emissions|N2O|Energy",114
"Emissions|N2O|Other",74
"Emissions|NH3",345
"Emissions|NH3|AFOLU",80
"Emissions|NH3|Energy",55
"Emissions|NH3|Energy|Demand|Industry",55
"Emissions|NH3|Energy|Demand|Residential and Commercial",54
"Emissions|NH3|Energy|Demand|Transportation",55
"Emissions|NH3|Energy|Supply",55
"Emissions|NH3|Other",8
"Emissions|NOx",363
"Emissions|NOx|AFOLU",80
"Emissions|NOx|Energy",80
"Emissions|NOx|Energy|Demand|Industry",80
"Emissions|NOx|Energy|Demand|Residential and Commercial",79
"Emissions|NOx|Energy|Demand|Transportation",80
"Emissions|NOx|Energy|Supply",80
"Emissions|NOx|Other",33
"Emissions|OC",363
"Emissions|OC|AFOLU",80
"Emissions|OC|Energy",80
"Emissions|OC|Energy|Demand|Industry",80
"Emissions|OC|Energy|Demand|Residential and Commercial",79
"Emissions|OC|Energy|Demand|Transportation",80
"Emissions|OC|Energy|Supply",80
"Emissions|OC|Other",33
"Emissions|PFC",180
"Emissions|PFC|C2F6",9
"Emissions|PFC|C6F14",9
"Emissions|PFC|CF4",9
"Emissions|SF6",191
"Emissions|Sulfur",412
"Emissions|Sulfur|AFOLU",80
"Emissions|Sulfur|Energy",80
"Emissions|Sulfur|Energy|Demand|Industry",80
"Emissions|Sulfur|Energy|Demand|Residential and Commercial",79
"Emissions|Sulfur|Energy|Demand|Transportation",80
"Emissions|Sulfur|Energy|Supply",80
"Emissions|Sulfur|Other",33
"Emissions|VOC",345
"Emissions|VOC|AFOLU",80
"Emissions|VOC|Energy",80
"Emissions|VOC|Energy|Demand|Industry",80
"Emissions|VOC|Energy|Demand|Residential and Commercial",79
"Emissions|VOC|Energy|Demand|Transportation",80
"Emissions|VOC|Energy|Supply",80
"Emissions|VOC|Other",33
"Energy Service|Transportation|Freight",98
"Energy Service|Transportation|Freight|Aviation",8
"Energy Service|Transportation|Freight|Navigation",1
"Energy Service|Transportation|Freight|Railways",9
"Energy Service|Transportation|Freight|Road",10
"Energy Service|Transportation|Passenger",98
"Energy Service|Transportation|Passenger|Aviation",9
"Energy Service|Transportation|Passenger|Railways",9
"Energy Service|Transportation|Passenger|Road",9
"Final Energy",409
"Final Energy|Electricity",409
"Final Energy|Fossil",1
"Final Energy|Gases",408
"Final Energy|Geothermal",77
"Final Energy|Heat",373
"Final Energy|Hydrogen",291
"Final Energy|Industry",280
"Final Energy|Industry|Electricity",205
"Final Energy|Industry|Fossil",1
"Final Energy|Industry|Gases",205
"Final Energy|Industry|Geothermal",1
"Final Energy|Industry|Heat",205
"Final Energy|Industry|Hydrogen",144
"Final Energy|Industry|Liquids",205
"Final Energy|Industry|Other",60
"Final Energy|Industry|Solar",1
"Final Energy|Industry|Solids",194
"Final Energy|Industry|Solids|Biomass",120
"Final Energy|Industry|Solids|Coal",120
"Final Energy|Liquids",404
"Final Energy|Non-Energy Use",18
"Final Energy|Non-Energy Use|Biomass",12
"Final Energy|Non-Energy Use|Coal",37
"Final Energy|Non-Energy Use|Fossil",1
"Final Energy|Non-Energy Use|Gas",43
"Final Energy|Non-Energy Use|Oil",43
"Final Energy|Residential and Commercial",326
"Final Energy|Residential and Commercial|Electricity",159
"Final Energy|Residential and Commercial|Fossil",1
"Final Energy|Residential and Commercial|Gases",159
"Final Energy|Residential and Commercial|Geothermal",1
"Final Energy|Residential and Commercial|Heat",205
"Final Energy|Residential and Commercial|Hydrogen",107
"Final Energy|Residential and Commercial|Liquids",159
"Final Energy|Residential and Commercial|Other",41
"Final Energy|Residential and Commercial|Solar",1
"Final Energy|Residential and Commercial|Solids",148
"Final Energy|Residential and Commercial|Solids|Biomass",93
"Final Energy|Residential and Commercial|Solids|Coal",93
"Final Energy|Solar",196
"Final Energy|Solids",388
"Final Energy|Solids|Biomass",408
"Final Energy|Solids|Biomass|Traditional",305
"Final Energy|Solids|Coal",408
"Final Energy|Transportation",404
"Final Energy|Transportation|Electricity",368
"Final Energy|Transportation|Fossil",1
"Final Energy|Transportation|Freight",84
"Final Energy|Transportation|Gases",152
"Final Energy|Transportation|Geothermal",1
"Final Energy|Transportation|Heat",1
"Final Energy|Transportation|Hydrogen",250
"Final Energy|Transportation|Liquids",313
"Final Energy|Transportation|Liquids|Biomass",318
"Final Energy|Transportation|Liquids|Oil",225
"Final Energy|Transportation|Solar",1
"Final Energy|Transportation|Solids|Biomass",1
"Final Energy|Transportation|Solids|Coal",1
"Food Demand",240
"Food Demand|Crops",204
"Food Demand|Livestock",204
"Food Energy Supply",73
"Food Energy Supply|Livestock",32
"Forcing",150
"Forcing|Aerosol",114
"Forcing|Aerosol|BC",79
"Forcing|Aerosol|Black and Organic Carbon",14
"Forcing|Aerosol|Cloud Indirect",46
"Forcing|Aerosol|OC",79
"Forcing|Aerosol|Other",79
"Forcing|Aerosol|Sulfate Direct",79
"Forcing|Albedo Change and Mineral Dust",57
"Forcing|CH4",138
"Forcing|CO2",138
"Forcing|F-Gases",120
"Forcing|Kyoto Gases",144
"Forcing|Montreal Gases",63
"Forcing|N2O",138
"Forcing|Other",85
"Forcing|Tropospheric Ozone",81
"GDP|MER",285
"GDP|PPP",393
"Investment|Energy Efficiency",25
"Investment|Energy Supply",207
"Investment|Energy Supply|CO2 Transport and Storage",67
"Investment|Energy Supply|Electricity",183
"Investment|Energy Supply|Electricity|Biomass",48
"Investment|Energy Supply|Electricity|Biomass|w/ CCS",69
"Investment|Energy Supply|Electricity|Biomass|w/o CCS",71
"Investment|Energy Supply|Electricity|Coal",48
"Investment|Energy Supply|Electricity|Coal|w/ CCS",69
"Investment|Energy Supply|Electricity|Coal|w/o CCS",71
"Investment|Energy Supply|Electricity|Electricity Storage",37
"Investment|Energy Supply|Electricity|Fossil",182
"Investment|Energy Supply|Electricity|Gas",48
"Investment|Energy Supply|Electricity|Gas|w/ CCS",69
"Investment|Energy Supply|Electricity|Gas|w/o CCS",71
"Investment|Energy Supply|Electricity|Geothermal",32
"Investment|Energy Supply|Electricity|Hydro",72
"Investment|Energy Supply|Electricity|Non-Biomass Renewables",71
"Investment|Energy Supply|Electricity|Non-fossil",85
"Investment|Energy Supply|Electricity|Nuclear",72
"Investment|Energy Supply|Electricity|Ocean",1
"Investment|Energy Supply|Electricity|Oil",48
"Investment|Energy Supply|Electricity|Oil|w/ CCS",12
"Investment|Energy Supply|Electricity|Oil|w/o CCS",71
"Investment|Energy Supply|Electricity|Other",49
"Investment|Energy Supply|Electricity|Solar",72
"Investment|Energy Supply|Electricity|Transmission and Distribution",105
"Investment|Energy Supply|Electricity|Wind",72
"Investment|Energy Supply|Extraction|Coal",8
"Investment|Energy Supply|Extraction|Fossil",101
"Investment|Energy Supply|Extraction|Gas",8
"Investment|Energy Supply|Extraction|Oil",8
"Investment|Energy Supply|Heat",81
"Investment|Energy Supply|Hydrogen",33
"Investment|Energy Supply|Hydrogen|Fossil",57
"Investment|Energy Supply|Hydrogen|Other",24
"Investment|Energy Supply|Liquids",80
"Investment|Energy Supply|Liquids|Biomass",48
"Investment|Energy Supply|Liquids|Coal and Gas",34
"Investment|Energy Supply|Liquids|Oil",48
"Land Cover",231
"Land Cover|Built-up Area",252
"Land Cover|Cropland",312
"Land Cover|Cropland|Cereals",73
"Land Cover|Cropland|Energy Crops",262
"Land Cover|Cropland|Irrigated",34
"Land Cover|Forest",333
"Land Cover|Forest|Afforestation and Reforestation",34
"Land Cover|Forest|Managed",42
"Land Cover|Forest|Natural Forest",73
"Land Cover|Other Arable Land",89
"Land Cover|Other Land",72
"Land Cover|Other Natural Land",150
"Land Cover|Pasture",312
"Policy Cost|Additional Total Energy System Cost",12
"Policy Cost|Area under MAC Curve",74
"Policy Cost|Consumption Loss",142
"Policy Cost|GDP Loss",142
"Policy Cost|Other",32
"Population",413
"Population|Risk of Hunger",6
"Population|Rural",3
"Population|Urban",48
"Population|Urban|Share",1
"Price|Agriculture|Corn|Index",37
"Price|Agriculture|Livestock|Index",49
